LE39 ACIDO 9.5h 2.csv;;FTECNICA2-PC\UFC;07/11/2019 15:40:53;GENESYS 10S UV-Vis;2L5S022220;4.006
nm;A
200;0,0097
201;0,0391
202;0,0726
203;0,1065
204;0,1172
205;0,1276
206;0,1279
207;0,125
208;0,1196
209;0,115
210;0,1102
211;0,1036
212;0,0992
213;0,0944
214;0,0896
215;0,0855
216;0,0819
217;0,0785
218;0,0759
219;0,0741
220;0,0718
221;0,07
222;0,0677
223;0,0656
224;0,0646
225;0,0625
226;0,06
227;0,0579
228;0,0564
229;0,0555
230;0,0547
231;0,0525
232;0,0517
233;0,0506
234;0,0496
235;0,0488
236;0,0476
237;0,047
238;0,0465
239;0,0447
240;0,0445
241;0,044
242;0,0427
243;0,0424
244;0,0419
245;0,0424
246;0,0405
247;0,0411
248;0,0409
249;0,0396
250;0,0397
251;0,0388
252;0,0393
253;0,0386
254;0,038
255;0,0377
256;0,0373
257;0,0374
258;0,0367
259;0,0366
260;0,0369
261;0,0367
262;0,0362
263;0,036
264;0,0352
265;0,0348
266;0,0347
267;0,034
268;0,0341
269;0,0327
270;0,0313
271;0,0317
272;0,0318
273;0,0314
274;0,0303
275;0,0295
276;0,0297
277;0,0289
278;0,0283
279;0,0288
280;0,0275
281;0,0284
282;0,0281
283;0,0285
284;0,0289
285;0,029
286;0,0295
287;0,0299
288;0,0297
289;0,03
290;0,0305
291;0,0301
292;0,0315
293;0,0306
294;0,0313
295;0,0305
296;0,0302
297;0,0304
298;0,0298
299;0,03
300;0,03
301;0,0295
302;0,0295
303;0,03
304;0,0295
305;0,0295
306;0,0295
307;0,0304
308;0,0294
309;0,0297
310;0,0291
311;0,0297
312;0,0296
313;0,0293
314;0,029
315;0,0277
316;0,0287
317;0,0277
318;0,0278
319;0,0274
320;0,0276
321;0,0275
322;0,0286
323;0,0276
324;0,0273
325;0,0267
326;0,0271
327;0,0277
328;0,0289
329;0,0284
330;0,0287
331;0,0284
332;0,0291
333;0,0285
334;0,03
335;0,0306
336;0,0296
337;0,0297
338;0,0305
339;0,0308
340;0,0315
341;0,032
342;0,0322
343;0,032
344;0,0324
345;0,0326
346;0,034
347;0,0343
348;0,0347
349;0,0344
350;0,0354
351;0,035
352;0,0364
353;0,036
354;0,037
355;0,0363
356;0,0379
357;0,0368
358;0,0379
359;0,0401
360;0,0377
361;0,0376
362;0,0393
363;0,0415
364;0,0405
365;0,0389
366;0,0406
367;0,0405
368;0,0413
369;0,0418
370;0,0425
371;0,0417
372;0,0429
373;0,0432
374;0,0412
375;0,0437
376;0,0419
377;0,0412
378;0,0432
379;0,044
380;0,0439
381;0,044
382;0,0443
383;0,0445
384;0,0445
385;0,0455
386;0,0445
387;0,0451
388;0,0464
389;0,0439
390;0,0463
391;0,0451
392;0,0436
393;0,0446
394;0,0456
395;0,0446
396;0,0442
397;0,0454
398;0,0426
399;0,0441
400;0,0432
